fold,auc,f1_neg_05,f1_pos_05
1,0.9111111111111111,0.8,0.9444444444444444
2,0.75,0.6666666666666666,0.9473684210526315
3,0.9027777777777778,0.3333333333333333,0.8947368421052632
4,0.9861111111111112,0.8888888888888888,0.9714285714285714
5,0.9861111111111112,0.75,0.9444444444444444
