fold,auc,avg_prec,f1,precision,recall
1,0.8514013392374986,0.9274391240410884,0.8943781942078365,0.860655737704918,0.9308510638297872
2,0.8482377506570185,0.9215943817720387,0.8953687821612349,0.867109634551495,0.925531914893617
3,0.8734525881111883,0.941592022233948,0.9013840830449827,0.8785834738617201,0.9253996447602132
4,0.8364905194254852,0.9266601715797324,0.8730703259005146,0.8441127694859039,0.9040852575488455
5,0.8593556996150067,0.9325755638777258,0.8845500848896435,0.8471544715447155,0.9253996447602132
