fold,auc,f1_neg_05,f1_pos_05
1,0.7320099255583127,0.3157894736842105,0.9007633587786259
2,0.8325062034739454,0.48,0.896
3,0.7204301075268817,0.42105263157894735,0.9147286821705426
4,0.8279569892473119,0.7,0.953125
5,0.9220430107526881,0.7619047619047619,0.9606299212598425
