fold,threshold,auc,macro_f1,f1_neg,f1_pos
1,0.5700000000000001,0.8473557259603269,0.7346301887458728,0.6108374384236454,0.8584229390681004
2,0.5550000000000002,0.8454431724088274,0.7637059389486573,0.6553398058252428,0.872072072072072
3,0.53,0.8628765406497101,0.7888847330765478,0.6924939467312349,0.8852755194218609
4,0.56,0.8337721235945939,0.7502230151650312,0.631578947368421,0.8688670829616414
5,0.49500000000000005,0.8595225000225406,0.7654271995841369,0.6472148541114059,0.8836395450568679
