fold,auc,f1_neg_05,f1_pos_05
1,0.8973765432098766,0.8260869565217391,0.9272727272727272
2,0.875,0.7346938775510204,0.8785046728971962
3,0.9529320987654321,0.8695652173913043,0.9454545454545454
4,0.9779874213836478,0.9166666666666666,0.9622641509433962
5,0.8852201257861635,0.7169811320754716,0.8514851485148515
