fold,auc,f1_neg_05,f1_pos_05
1,0.8663975707302621,0.672514619883041,0.8653846153846154
2,0.857602862254025,0.6479750778816199,0.8672150411280846
3,0.8661001788908766,0.6707317073170732,0.8720379146919431
4,0.8623136553369113,0.6930091185410334,0.8801897983392646
5,0.8313066975487358,0.6507462686567164,0.8602150537634409
