,importance
BIO_alblk00_mean,0.1058426557404271
AL_287,0.10568522970840002
BIO_alblk25_mean,0.10543519667267634
AL_331,0.10446626734763047
BIO_alblk25_std,0.10377848641382022
AL_92,0.10360388282945121
AL_295,0.10318351133802159
AL_74,0.10246368947103843
AL_317,0.10171033875901994
BIO_alblk31_std,0.10133746260642243
BIO_alblk07_max,0.1013348060352254
CAT_5,0.10096636316865457
AL_99,0.10084978881662536
BIO_alblk37_std,0.10015165417785954
AL_210,0.09962534310407119
AL_304,0.09946179225953107
BIO_alblk11_mean,0.0991537062956098
CAT_4,0.09896071097498324
AL_142,0.0984110181380788
BIO_alblk08_mean,0.09690614165694922
BIO_alblk19_mean,0.09619668548825873
BIO_alblk58_std,0.09598022880842426
AL_192,0.0958400876359299
AL_29,0.09577285778787988
AL_76,0.09544226511325789
AL_242,0.09537036595470645
AL_147,0.09461861874327222
AL_69,0.09279035506972003
BIO_alblk63_mean,0.09258023796760195
AL_118,0.09166005829964866
AL_201,0.09070528096378609
AL_199,0.09065457639466899
AL_181,0.09028037482073607
AL_117,0.09013424205538687
AL_136,0.08972136089150273
AL_190,0.08875657373533292
BIO_alblk06_max,0.08847569416417596
BIO_alblk18_mean,0.0878478105310333
BIO_alblk46_std,0.08616624152307922
AL_108,0.0846352043293778
BIO_alblk43_mean,0.08451951362212203
BIO_alblk35_std,0.08425483405559206
BIO_alblk57_max,0.08389087688748934
AL_45,0.08379950691560256
BIO_alblk52_std,0.08377204831253586
AL_62,0.08331059102637943
AL_46,0.08313501736559066
AL_290,0.08283188824767085
AL_258,0.08273208518106652
BIO_alblk09_max,0.08252426950148381
AA_1_W,0.08217590601271033
BIO_alblk32_mean,0.08153671450994592
BIO_alblk23_mean,0.08122422257217184
AL_291,0.0809546847051294
BIO_alblk13_max,0.08065792643405176
AL_78,0.0804961903150013
AL_326,0.08048569686818852
AL_159,0.0802806409602602
AL_121,0.07933278154708293
AL_100,0.07917470279397022
BIO_alblk22_mean,0.0785828695715691
AL_216,0.0784473485367864
AL_313,0.0772266852257536
AL_188,0.07698011895949307
AL_25,0.07635848484099293
BIO_alblk39_std,0.07584281452725651
AL_112,0.07561493276231021
BIO_alblk20_std,0.07547286208411888
AL_91,0.07475815006540489
